 ,Area
1453,8247.542
1454,1415.918
1455,673.438
1456,603.959
1457,1329.996
1458,1542.024
1459,25057.564
1460,756.093
1461,559.093
1462,30460.964
1463,1240.371
1464,106865.532
1465,1785.307
1466,3892.522
1467,2713.57
1468,913.562
1469,5305.717
1470,786.585
1471,1919.798
1472,2954.566
1473,2028.154
1474,445.183
1475,18214.941
1476,5844.445
1477,2041.548
1478,1511.205
1479,658.736
1480,1482.238
1481,5006.895
1482,2047.102
1483,2513.085
1484,1776.812
1485,3631.271
1486,2595.196
1487,520.651
1488,315033.985
1489,1599.959
1490,455.093
1491,560.291
1492,1505.76
1493,757.073
1494,1520.571
1495,728.105
1496,667.775
1497,684.328
1498,594.812
1499,1845.855
1500,859.221
1501,1962.051
1502,1980.238
1503,507.692
1504,8635.335
1505,3353.576
1506,2293.761
1507,776.457
1508,665.924
1509,11673.427
1510,562.251
1511,577.497
1512,770.685
1513,536.224
1514,2652.695
1515,715.582
1516,553.212
1517,5247.347
1518,699.465
1519,2354.527
1520,1030.303
1521,878.932
1522,4728.874
1523,404.346
1524,647.302
1525,612.345
1526,543.52
1527,87301.647
1528,4346.09
1529,569.874
1530,523.7
1531,748.905
1532,521.087
1533,575.645
1534,799.762
1535,1064.28
1536,1149.004
1537,3869.87
1538,1661.923
1539,1033.57
1540,443.332
1541,926.848
1542,31285.555
1543,2211.65
1544,654.816
1545,7846.899
1546,555.826
1547,2092.187
1548,663.092
1549,1552.696
1550,771.665
1551,1802.404
1552,1141.817
1553,1730.639
1554,1455.666
1555,405.87
1556,783.862
1557,6745.266
1558,955.815
1559,497.455
1560,1384.01
1561,1914.789
1562,1640.034
1563,117725.585
1564,969.319
1565,426.888
1566,436.471
1567,1834.965
1568,1266.507
1569,2765.407
1570,1467.536
1571,539.6
1572,2929.955
1573,8178.063
1574,467.181
1575,3096.68
1576,1128.204
1577,1278.922
1578,586.318
1579,474.586
1580,2008.661
1581,2616.431
1582,560.835
1583,451.608
1584,2706.818
1585,606.791
1586,1772.783
1587,11990.761
1588,3591.958
1589,547.876
1590,2385.346
1591,890.475
1592,2756.041
1593,761.429
1594,473133.592
1595,715.909
1596,3132.073
1597,1017.888
1598,653.509
1599,2674.911
1600,1343.717
1601,902.999
1602,1063.953
1603,1468.517
1604,944.163
1605,1441.292
1606,824.918
1607,2718.906
1608,2225.154
1609,9897.812
1610,474.26
1611,425.146
1612,1016.799
1613,3729.281
1614,680.734
1615,2748.418
1616,8716.901
1617,500.504
1618,465.112
1619,1032.263
1620,1015.928
1621,517.384
1622,441.807
1623,2129.322
1624,4746.515
1625,617.572
1626,2629.717
1627,172643.529
1628,1195.831
1629,1444.45
1630,555.39
1631,1790.969
1632,911.711
1633,425.799
1634,2249.547
1635,1990.365
1636,669.408
1637,9831.492
1638,546.569
1639,2203.047
1640,12553.012
1641,1334.134
1642,7368.501
1643,812.394
1644,987.614
1645,476.764
1646,1456.211
1647,546.351
1648,1378.674
1649,128820.862
1650,1530.807
1651,405.544
1652,875.338
1653,447.035
1654,4399.778
1655,3793.423
1656,3814.767
1657,1795.325
1658,575.428
1659,1061.666
1660,5956.83
1661,604.831
1662,1745.667
1663,684.219
1664,3208.194
1665,766.656
1666,1439.331
1667,3469.227
1668,5551.94
1669,688.575
1670,1610.304
1671,966.814
1672,951.568
1673,621.383
1674,1540.391
1675,1831.48
1676,639.025
1677,1090.089
1678,5335.773
1679,528.383
1680,1483.654
1681,1393.267
1682,816.097
1683,2004.087
1684,489.397
1685,798.128
1686,577.932
1687,1366.586
1688,2542.271
1689,1182.001
1690,2640.172
1691,2207.512
1692,868.369
1693,21935.183
1694,1527.649
1695,547.985
1696,1654.3
1697,1022.789
1698,4828.408
1699,1334.787
1700,6569.719
1701,1654.736
1702,8975.32
1703,4916.726
1704,1613.571
1705,7248.275
1706,621.601
1707,658.954
1708,584.357
1709,3581.83
1710,4440.833
1711,964.963
1712,795.406
1713,496.584
1714,1876.783
1715,6545.435
1716,662.112
1717,2650.517
1718,537.204
1719,2007.898
1720,1686.861
1721,2310.967
1722,695.653
1723,645.341
1724,907.573
1725,10243.57
1726,8107.714
1727,788.327
1728,1198.553
1729,43642.765
1730,1188.97
1731,1285.238
1732,2683.732
1733,1416.353
1734,973.675
1735,431.026
1736,1071.14
1737,1298.85
1738,782.555
1739,489.179
1740,5437.268
1741,971.388
1742,3392.78
1743,1432.688
1744,5151.297
1745,3198.393
1746,4288.373
1747,448.124
1748,24131.914
1749,34530.122
1750,1003.405
1751,681.061
1752,962.458
1753,2052.221
1754,2348.537
1755,2579.514
1756,5159.464
1757,456.291
1758,2984.187
1759,696.633
1760,986.961
1761,565.953
1762,1060.686
1763,9544.432
1764,3267
1765,768.507
1766,930.659
1767,1804.691
1768,201217.365
1769,508.019
1770,946.232
1771,662.657
1772,11527.283
1773,645.668
1774,471.864
1775,1487.683
1776,740.52
1777,3329.073
1778,1686.208
1779,674.2
1780,762.845
1781,28588.102
1782,2444.043
1783,837.55
1784,1105.335
1785,1826.362
1786,1023.878
1787,748.143
1788,7146.345
1789,518.037
1790,419.047
1791,408.593
1792,417.305
1793,2308.571
1794,1603.226
1795,850.945
1796,8657.115
1797,1256.597
1798,4074.82
1799,531468.492
1800,765.676
1801,404.019
1802,2602.383
1803,15457.484
1804,1979.475
1805,7438.85
1806,9450.015
1807,865.646
1808,827.64
1809,1118.839
1810,3099.947
1811,1437.807
1812,568.894
1813,1282.189
1814,1251.261
1815,485.585
1816,1341.43
1817,413.276
1818,2360.843
1819,12618.134
1820,2006.918
1821,623.67
1822,1716.917
1823,1130.055
1824,8938.077
1825,2560.892
1826,2204.681
1827,1370.724
1828,721.136
1829,629.66
1830,1270.427
1831,809.018
1832,670.933
1833,1286.98
1834,1038.906
1835,3222.133
1836,1501.84
1837,8388.132
1838,709.701
1839,1197.247
1840,1967.17
1841,866.953
1842,7325.268
1843,469.25
1844,1004.711
1845,872.942
1846,28833.671
1847,681.496
1848,2497.077
1849,1238.738
1850,964.854
1851,2569.496
1852,1551.934
1853,1550.736
1854,2285.702
1855,589.802
1856,978.575
1857,869.24
1858,269104.102
1859,732.788
1860,1661.27
1861,24488.561
1862,8489.626
1863,2187.365
1864,1045.44
1865,635.54
1866,1273.15
1867,10575.497
1868,3839.052
1869,4586.759
1870,1028.561
1871,1716.591
1872,4216.172
1873,865.319
1874,5123.31
1875,826.442
1876,9627.305
1877,11857.577
1878,570.854
1879,957.667
1880,953.311
1881,749.014
1882,2195.206
1883,2594.434
1884,979.991
1885,4777.116
1886,1216.304
1887,3387.552
1888,3151.348
1889,1884.515
1890,4705.242
1891,4034.201
1892,3088.513
1893,1065.804
1894,623.561
1895,1775.179
1896,5925.031
1897,1655.389
1898,879.368
1899,583.922
1900,9823.542
1901,997.088
1902,841.797
1903,410.335
1904,1871.991
1905,434.62
1906,1138.876
1907,1660.289
1908,4894.293
1909,12559.873
1910,7536.969
1911,1996.682
1912,4691.303
1913,560.508
1914,808.583
1915,4080.81
1916,494.624
1917,1183.416
1918,1558.577
1919,1512.621
1920,121954.172
1921,4701.213
1922,1324.442
1923,510.85
1924,960.716
1925,11005.87
1926,416.978
1927,852.034
1928,1701.236
1929,805.207
1930,3715.341
1931,512.157
1932,1231.768
1933,1100.326
1934,1068.854
1935,8733.453
1936,576.517
1937,4899.738
1938,1283.169
1939,10328.185
1940,1111.433
1941,4338.032
1942,749.341
1943,546.787
1944,3244.893
1945,1572.298
1946,1659.527
1947,1034.768
1948,737.362
1949,671.042
1950,1308.216
1951,1088.02
1952,6454.285
1953,1337.292
1954,1403.285
1955,468.379
1956,407.395
1957,1219.244
1958,2081.624
1959,1554.439
1960,3057.041
1961,3659.258
1962,2151.428
1963,545.48
1964,5239.941
1965,1637.638
1966,877.298
1967,623.888
1968,738.124
1969,660.805
1970,749.559
